model,file,note_count,duration_seconds,pitch_histogram_distance_lower_is_better,rhythm_diversity,repetition_ratio_lower_is_better,average_step_seconds,average_note_duration_seconds
Task 1 LSTM Autoencoder,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_ae/generated_sample_1.mid,26,8.0,0.9847877025604248,0.7692307692307693,0.0,0.19,3.0744755244755244
Task 1 LSTM Autoencoder,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_ae/generated_sample_2.mid,34,8.0,0.6835695505142212,0.8529411764705882,0.0,0.22727272727272727,2.343716577540107
Task 1 LSTM Autoencoder,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_ae/generated_sample_3.mid,15,8.0,0.9224684238433838,0.6,0.0,0.25892857142857145,5.320757575757576
Task 1 LSTM Autoencoder,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_ae/generated_sample_4.mid,21,8.0,0.6693897247314453,0.7619047619047619,0.0,0.38125,3.8004329004329005
Task 1 LSTM Autoencoder,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_ae/generated_sample_5.mid,36,8.0,0.6551108360290527,0.6944444444444444,0.0,0.18753246753246752,2.2152146464646467
Task 2 VAE,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_vae/vae_style_baroque_1.mid,39,8.0,0.7863858938217163,0.7948717948717948,0.0,0.20723684210526316,2.0463869463869466
Task 2 VAE,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_vae/vae_style_baroque_7.mid,28,8.0,0.45845669507980347,0.8928571428571429,0.0,0.2361111111111111,2.8549512987012986
Task 2 VAE,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_vae/vae_style_classical_2.mid,49,8.0,0.63736492395401,0.5918367346938775,0.0,0.1627840909090909,1.628756957328386
Task 2 VAE,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_vae/vae_style_classical_8.mid,50,8.0,0.6102454662322998,0.6,0.0,0.1543599257884972,1.5924090909090909
Task 2 VAE,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_vae/vae_style_impressionist_3.mid,38,8.0,0.5670591592788696,0.8157894736842105,0.0,0.19766584766584766,2.095275119617225
Task 2 VAE,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_vae/vae_style_modern_4.mid,47,8.0,1.0263562202453613,0.6808510638297872,0.0,0.15355731225296443,1.6954061895551258
Task 2 VAE,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_vae/vae_style_other_classical_5.mid,19,8.0,1.075730800628662,0.7368421052631579,0.0,0.4097222222222222,4.207177033492823
Task 2 VAE,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_vae/vae_style_romantic_6.mid,34,8.0,0.5068886876106262,0.9117647058823529,0.0,0.1856060606060606,2.3455213903743317
Task 3 Transformer,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_transformer/transformer_long_1.mid,33,32.0,0.5657287836074829,0.5454545454545454,0.03333333333333333,0.9941761363636363,0.9696969696969697
Task 3 Transformer,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_transformer/transformer_long_10.mid,8,32.0,1.0197761058807373,1.0,0.0,1.6519480519480518,3.9764204545454547
Task 3 Transformer,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_transformer/transformer_long_2.mid,16,32.0,0.9373660087585449,0.8125,0.0,1.6124242424242423,1.9805397727272729
Task 3 Transformer,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_transformer/transformer_long_3.mid,70,32.0,0.8776404857635498,0.2714285714285714,0.04477611940298507,0.45559947299077724,0.40535714285714297
Task 3 Transformer,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_transformer/transformer_long_4.mid,29,32.0,0.5033645033836365,0.5862068965517241,0.0,1.1272727272727272,1.0259404388714735
Task 3 Transformer,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_transformer/transformer_long_5.mid,26,32.0,0.6785982251167297,0.8846153846153846,0.0,1.205,1.2259615384615385
Task 3 Transformer,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_transformer/transformer_long_6.mid,27,32.0,0.7756333351135254,0.6296296296296297,0.0,1.213986013986014,1.1851851851851851
Task 3 Transformer,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_transformer/transformer_long_7.mid,20,32.0,0.6431260704994202,0.65,0.0,1.6808612440191386,1.5937500000000002
Task 3 Transformer,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_transformer/transformer_long_8.mid,17,32.0,0.6730858683586121,0.8823529411764706,0.0,1.9765625,1.8823529411764706
Task 3 Transformer,/kaggle/input/datasets/nafiurrahmanafnan/generated-midis/generated_midi_transformer/transformer_long_9.mid,21,32.0,0.7254842519760132,0.7619047619047619,0.05555555555555555,1.58125,1.4285714285714286
Random Baseline,/kaggle/working/evaluation_outputs/baselines/random_baseline.mid,486,32.0,0.28380057215690613,0.00823045267489712,0.0,0.06584817244611059,0.0640478862701085
Markov Baseline,/kaggle/working/evaluation_outputs/baselines/markov_baseline.mid,92,32.0,0.20099759101867676,0.2608695652173913,0.0,0.35027472527472525,0.34580039525691697
